PROVINCIA,poblacion_total,tiempo_medio_ponderado_min,pct_sin_ruta,n_centros_poblados
UCAYALI,75869.00000000001,153.04434612533126,0.8793103448275862,116
LORETO,73092.0,100.82235753737302,0.9585798816568047,169
SATIPO,286885.0,78.64799510141874,0.0771028037383178,428
FERREÑAFE,108526.0,68.53158417333273,0.01754385964912286,171
JUNIN,24871.000000000004,42.960877337160404,0.011070110701106972,271
LAMBAYEQUE,304478.0,41.265679627240196,0.0025510204081632404,392
CHANCHAMAYO,210857.99999999997,36.99041326951795,0.007692307692307665,260
CONCEPCION,56415.0,36.36283465723554,0.011904761904761862,168
ALTO AMAZONAS,123404.0,32.88771675014835,0.7122641509433962,212
YAULI,40877.0,31.92441474519361,0.03632887189292544,523
MAYNAS,565632.0,30.166262707841312,0.8047493403693932,379
TARMA,108389.0,29.663878794053304,0.012499999999999956,240
CHUPACA,53876.0,20.23368186922216,0.04347826086956519,115
JAUJA,83073.0,18.054543530914792,0.022222222222222254,315
CHICLAYO,877613.0000000001,10.657975790700453,0.006779661016949157,295
HUANCAYO,514690.0,10.623427095736679,0.06666666666666665,330
DATEM DEL MARAÑON,66363.0,,1.0,242
MARISCAL RAMON CASTILLA,75662.99999999999,,1.0,167
PUTUMAYO,12264.0,,1.0,63
REQUENA,75843.0,,1.0,144
