DEPARTAMENTO,banda,poblacion,poblacion_total_grupo,pct_poblacion
JUNIN,<= 120 min,125091.42070390361,1379934.0,0.09065029248058502
JUNIN,<= 30 min,880968.8115756613,1379934.0,0.6384137296245047
JUNIN,<= 60 min,273408.5785228905,1379934.0,0.19813163421068727
JUNIN,> 120 min,54335.59743341424,1379934.0,0.03937550450486345
JUNIN,SIN_RUTA,46129.59176413041,1379934.0,0.0334288391793596
LAMBAYEQUE,<= 120 min,77136.71235816815,1290617.0,0.05976731467055536
LAMBAYEQUE,<= 30 min,1019569.7597868787,1290617.0,0.7899863087088413
LAMBAYEQUE,<= 60 min,144051.64327269333,1290617.0,0.11161455588504826
LAMBAYEQUE,> 120 min,46625.62161522688,1290617.0,0.03612661356175138
LAMBAYEQUE,SIN_RUTA,3233.2629670329675,1290617.0,0.002505207173803667
LORETO,<= 120 min,51654.75057703472,1068130.0,0.04835998481180635
LORETO,<= 30 min,157906.24145510403,1068130.0,0.14783429119592562
LORETO,<= 60 min,97602.02169953147,1068130.0,0.09137653815502932
LORETO,> 120 min,4922.277777777777,1068130.0,0.004608313386739234
LORETO,SIN_RUTA,756044.708490552,1068130.0,0.7078208724504995
