UBIGEO,Distrito,Provincia,Departamento,Poblacion,Superficie,Y,X
010101,Chachapoyas,Chachapoyas,Amazonas,29171.0,153.78,-6.2294,-77.8714
010102,Asuncion,Chachapoyas,Amazonas,288.0,25.71,-6.0317,-77.7122
010103,Balsas,Chachapoyas,Amazonas,1644.0,357.09,-6.8375,-78.0214
010104,Cheto,Chachapoyas,Amazonas,591.0,56.97,-6.2558,-77.7003
010105,Chiliquin,Chachapoyas,Amazonas,687.0,143.43,-6.0778,-77.7392
010106,Chuquibamba,Chachapoyas,Amazonas,2064.0,278.63,-6.9333,-77.8575
010107,Granada,Chachapoyas,Amazonas,379.0,181.41,-6.0997,-77.6344
010108,Huancas,Chachapoyas,Amazonas,1329.0,48.79,-6.1747,-77.8686
010109,La Jalca,Chachapoyas,Amazonas,5513.0,380.39,-6.4825,-77.8192
010110,Leimebamba,Chachapoyas,Amazonas,4206.0,373.14,-6.6636,-77.8006
010111,Levanto,Chachapoyas,Amazonas,862.0,77.54,-6.3086,-77.8994
010112,Magdalena,Chachapoyas,Amazonas,782.0,135.47,-6.3736,-77.9017
010113,Mariscal Castilla,Chachapoyas,Amazonas,986.0,83.58,-6.5939,-77.8053
010114,Molinopampa,Chachapoyas,Amazonas,2750.0,333.86,-6.2056,-77.6683
010115,Montevideo,Chachapoyas,Amazonas,572.0,119.01,-6.6133,-77.8025
010116,Olleros,Chachapoyas,Amazonas,363.0,125.16,-6.0239,-77.6761
010117,Quinjalca,Chachapoyas,Amazonas,830.0,91.59,-6.085,-77.66
010118,San Francisco de Daguas,Chachapoyas,Amazonas,351.0,47.41,-6.2333,-77.7392
010119,San Isidro de Maino,Chachapoyas,Amazonas,703.0,101.67,-6.3533,-77.8439
010120,Soloco,Chachapoyas,Amazonas,1302.0,84.48,-6.2619,-77.7453
010121,Sonche,Chachapoyas,Amazonas,218.0,113.26,-6.2183,-77.7753
010201,Bagua,Bagua,Amazonas,26091.0,150.99,-5.6389,-78.5319
010202,Aramango,Bagua,Amazonas,10940.0,809.07,-5.4156,-78.4361
010203,Copallin,Bagua,Amazonas,6319.0,99.05,-5.6733,-78.4228
010204,El Parco,Bagua,Amazonas,1492.0,18.48,-5.6247,-78.4764
010205,Imaza,Bagua,Amazonas,24323.0,"4,430.84",-5.16,-78.2903
010206,La Peca,Bagua,Amazonas,8048.0,144.29,-5.6092,-78.4344
010301,Jumbilla,Bongara,Amazonas,1764.0,154.18,-5.9006,-77.7958
010302,Chisquilla,Bongara,Amazonas,335.0,174.96,-5.9003,-77.7839
010303,Churuja,Bongara,Amazonas,269.0,33.34,-6.0192,-77.9517
010304,Corosha,Bongara,Amazonas,1046.0,45.67,-5.8294,-77.84
010305,Cuispes,Bongara,Amazonas,899.0,110.72,-5.9236,-77.9392
010306,Florida,Bongara,Amazonas,8663.0,203.22,-5.8336,-77.9714
010307,Jazan,Bongara,Amazonas,9349.0,88.83,-5.9419,-77.9806
010308,Recta,Bongara,Amazonas,201.0,24.58,-5.9194,-77.7861
010309,San Carlos,Bongara,Amazonas,310.0,100.76,-5.9636,-77.9447
010310,Shipasbamba,Bongara,Amazonas,1819.0,127.29,-5.8744,-78.0692
010311,Valera,Bongara,Amazonas,1281.0,90.14,-6.0425,-77.9139
010312,Yambrasbamba,Bongara,Amazonas,8470.0,"1,715.96",-5.6908,-77.9772
010401,Nieva,Condorcanqui,Amazonas,29213.0,"4,481.63",-4.5947,-77.8672
010402,El Cenepa,Condorcanqui,Amazonas,9620.0,"5,458.48",-4.4503,-78.1592
010403,Rio Santiago,Condorcanqui,Amazonas,16986.0,"8,035.28",-4.0106,-77.7658
010501,Lamud,Luya,Amazonas,2292.0,69.49,-6.1308,-77.9503
010502,Camporredondo,Luya,Amazonas,7131.0,376.01,-6.2136,-78.3186
010503,Cocabamba,Luya,Amazonas,2517.0,355.85,-6.6297,-78.0303
010504,Colcamar,Luya,Amazonas,2263.0,106.60,-6.3175,-78.0019
010505,Conila,Luya,Amazonas,2083.0,256.17,-6.1592,-78.1419
010506,Inguilpata,Luya,Amazonas,587.0,118.04,-6.2428,-77.9561
010507,Longuita,Luya,Amazonas,1161.0,57.91,-6.4147,-77.9681
010508,Lonya Chico,Luya,Amazonas,961.0,83.82,-6.2328,-77.9564
010509,Luya,Luya,Amazonas,4420.0,91.21,-6.165,-77.9469
010510,Luya Viejo,Luya,Amazonas,489.0,73.87,-6.1275,-78.0847
010511,Maria,Luya,Amazonas,945.0,80.27,-6.4517,-77.9733
010512,Ocalli,Luya,Amazonas,4259.0,177.39,-6.2347,-78.2667
010513,Ocumal,Luya,Amazonas,4194.0,235.86,-6.3061,-78.2294
010514,Pisuquia,Luya,Amazonas,6132.0,306.50,-6.5114,-78.0747
010515,Providencia,Luya,Amazonas,1536.0,71.22,-6.3108,-78.2503
010516,San Cristobal,Luya,Amazonas,685.0,33.36,-6.0997,-77.9525
010517,San Francisco del Yeso,Luya,Amazonas,821.0,113.94,-6.5861,-77.8469
